ingredient,local_alias,product_name,brand_name,expiry_date,Estimated Total Qty,minQty,unit,original unit,price
Digestive biscuit,,Digestive biscuit,Generic,3/22/2023,200,100,Kg,kg,27800.0
Golden Raisin,,Golden Raisin,Generic,3/22/2023,200,100,Kg,gm,68000.0
Strawberry Jello,,Strawberry Jello,Generic,3/22/2023,200,100,Kg,gm,76000.0
BlueBerry,,BlueBerry,Generic,3/22/2023,200,100,Kg,gm,398000.0
Black Lentils,,Black Lentils,Generic,3/22/2023,200,100,Kg,gm,146000.0
Chaat Masala,,Chaat Masala,Generic,3/22/2023,200,100,Kg,gm,120000.0
Crackers,,Crackers,Generic,3/22/2023,200,100,Kg,gm,52000.0
Gram Dal,,Gram Dal,Generic,3/22/2023,200,100,Kg,gm,22000.0
Green Olive,,Green Olive,Generic,3/22/2023,200,100,Kg,gm,84000.0
Vermicelli,,Vermicelli,Generic,3/22/2023,200,100,Kg,gm,40000.0
Cashew,,Cashew,Generic,3/22/2023,200,100,Kg,gm,144000.0
Horseradish,,Horseradish,Generic,3/22/2023,200,100,Kg,None,
Black Olives,,Black Olives,Generic,3/22/2023,200,100,Kg,gm,26000.0
Green Chutney,,Green Chutney,Generic,3/22/2023,200,100,Kg,gm,48000.0
Honey,,Honey,Generic,3/22/2023,200,100,Kg,kg,73800.0
Roll,,Roll,Generic,3/22/2023,200,100,Kg,gm,56000.0
Sorghum,,Sorghum,Generic,3/22/2023,200,100,Kg,kg,14800.0
Spinach,,Spinach,Generic,3/22/2023,200,100,Kg,None,
Sugar Icing,,Sugar Icing,Generic,3/22/2023,200,100,Kg,gm,18000.0
baking powder,,baking powder,Generic,3/22/2023,200,100,Kg,gm,88000.0
Cherry Tomato,,Cherry Tomato,Generic,3/22/2023,200,100,Kg,gm,26000.0
Chip,,Chip,Generic,3/22/2023,200,100,Kg,gm,76000.0
Potato Stick,,Potato Stick,Generic,3/22/2023,200,100,Kg,kg,5600.0
Wheat Biscuit,,Wheat Biscuit,Generic,3/22/2023,200,100,Kg,gm,120000.0
Caramel Sauce,,Caramel Sauce,Generic,3/22/2023,200,100,Kg,gm,42000.0
Chicken Tikka,,Chicken Tikka,Generic,3/22/2023,200,100,Kg,gm,116000.0
Chili garlic sauce,,Chili garlic sauce,Generic,3/22/2023,200,100,Kg,gm,42000.0
Chili Paste,,Chili Paste,Generic,3/22/2023,200,100,Kg,gm,98000.0
Equal,,Equal,Generic,3/22/2023,200,100,Kg,None,
Yellow Lentil,,Yellow Lentil,Generic,3/22/2023,200,100,Kg,gm,146000.0
Cheese Mozzarella,,Cheese Mozzarella,Generic,3/22/2023,200,100,Kg,gm,112000.0
Cheese Provolone,,Cheese Provolone,Generic,3/22/2023,200,100,Kg,gm,114000.0
Prune,,Prune,Generic,3/22/2023,200,100,Kg,gm,54000.0
Walnut,,Walnut,Generic,3/22/2023,200,100,Kg,gm,240000.0
Tamarind Chutney,,Tamarind Chutney,Generic,3/22/2023,200,100,Kg,gm,28000.0
Finger Millet,,Finger Millet,Generic,3/22/2023,200,100,Kg,kg,7600.0
Flour Millet,,Flour Millet,Generic,3/22/2023,200,100,Kg,gm,14000.0
Flour White Millet,,Flour White Millet,Generic,3/22/2023,200,100,Kg,kg,14800.0
Cocoa Powder Unsweetened,,Cocoa Powder Unsweetened,Generic,3/22/2023,200,100,Kg,gm,232000.0
Coriander Powder,,Coriander Powder,Generic,3/22/2023,200,100,Kg,gm,40000.0
Curd,,Curd,Generic,3/22/2023,200,100,Kg,gm,42000.0
Monk Fruit,,Monk Fruit,Generic,3/22/2023,200,100,Kg,gm,220000.0
Pumpkin Seeds,,Pumpkin Seeds,Generic,3/22/2023,200,100,Kg,gm,192000.0
Sunflower Seeds,,Sunflower Seeds,Generic,3/22/2023,200,100,Kg,gm,114000.0
Chutney,,Chutney,Generic,3/22/2023,200,100,Kg,gm,84000.0
Chana,,Chana,Generic,3/22/2023,200,100,Kg,gm,56000.0
Chickpeas Black,,Chickpeas Black,Generic,3/22/2023,200,100,Kg,kg,39800.0
Brown Bread,,Brown Bread,Generic,3/22/2023,200,100,Kg,kg,17600.0
Paratha,,Paratha,Generic,3/22/2023,200,100,Kg,gm,52000.0
Dates,,Dates,Generic,3/22/2023,200,100,Kg,gm,74000.0
Green onion,,Green onion,Generic,3/22/2023,200,100,Kg,ml,
Lamb,,Lamb,Generic,3/22/2023,200,100,Kg,gm,1280000.0
Lamb BRT boneless,,Lamb BRT boneless,Generic,3/22/2023,200,100,Kg,gm,1280000.0
Lamb Ground,,Lamb Ground,Generic,3/22/2023,200,100,Kg,gm,1280000.0
Lamb kabob & Stew,,Lamb kabob & Stew,Generic,3/22/2023,200,100,Kg,gm,1280000.0
Lamb Kidney,,Lamb Kidney,Generic,3/22/2023,200,100,Kg,gm,1280000.0
Lamb Sirloin Chop,,Lamb Sirloin Chop,Generic,3/22/2023,200,100,Kg,None,
Lamb Trotter,,Lamb Trotter,Generic,3/22/2023,200,100,Kg,gm,1280000.0
Onion Green,,Onion Green,Generic,3/22/2023,200,100,Kg,ml,
Egg Hard Boiled,,Egg Hard Boiled,Generic,3/22/2023,200,100,Kg,kg,8200.0
Spaghetti Noodle,,Spaghetti Noodle,Generic,3/22/2023,200,100,Kg,gm,66000.0
Spring Roll,,Spring Roll,Generic,3/22/2023,200,100,Kg,gm,106000.0
Apricot,,Apricot,Generic,3/22/2023,200,100,Kg,gm,126000.0
Spices,,Spices,Generic,3/22/2023,200,100,Kg,gm,298000.0
Spinach Baby,,Spinach Baby,Generic,3/22/2023,200,100,Kg,ml,
Almond,,Almond,Generic,3/22/2023,200,100,Kg,gm,140000.0
Cheese Parmesan,,Cheese Parmesan,Generic,3/22/2023,200,100,Kg,gm,114000.0
Goat Cubes,,Goat Cubes,Generic,3/22/2023,200,100,Kg,ml,
Naan,,Naan,Generic,3/22/2023,200,100,Kg,gm,54000.0
Cloves Garlic,,Cloves Garlic,Generic,3/22/2023,200,100,Kg,gm,36000.0
Ginger garlic paste,,Ginger garlic paste,Generic,3/22/2023,200,100,Kg,gm,32000.0
Cocoa Powder,,Cocoa Powder,Generic,3/22/2023,200,100,Kg,gm,232000.0
Pomegranate,,Pomegranate,Generic,3/22/2023,200,100,Kg,l,63600.0
Frankfurters,,Frankfurters,Generic,3/22/2023,200,100,Kg,None,
Milk Chocolate,,Milk Chocolate,Generic,3/22/2023,200,100,Kg,gm,360000.0
Carom Seeds,,Carom Seeds,Generic,3/22/2023,200,100,Kg,gm,32000.0
Dark Chocolate,,Dark Chocolate,Generic,3/22/2023,200,100,Kg,gm,522000.0
Cheese Spread,,Cheese Spread,Generic,3/22/2023,200,100,Kg,gm,92000.0
Chocolate,,Chocolate,Generic,3/22/2023,200,100,Kg,gm,450000.0
Figs,,Figs,Generic,3/22/2023,200,100,Kg,gm,200000.0
Fried onion,,Fried onion,Generic,3/22/2023,200,100,Kg,ml,
Cinnamon,,Cinnamon,Generic,3/22/2023,200,100,Kg,gm,172000.0
Peppercorn,,Peppercorn,Generic,3/22/2023,200,100,Kg,None,
Flour Self Rising,,Flour Self Rising,Generic,3/22/2023,200,100,Kg,kg,7800.0
Chicken Seasoning,,Chicken Seasoning,Generic,3/22/2023,200,100,Kg,gm,346000.0
Cheese Soft,,Cheese Soft,Generic,3/22/2023,200,100,Kg,gm,114000.0
Paprika,,Paprika,Generic,3/22/2023,200,100,Kg,gm,266000.0
Onion Powder,,Onion Powder,Generic,3/22/2023,200,100,Kg,ml,
Dry Chili,,Dry Chili,Generic,3/22/2023,200,100,Kg,gm,98000.0
Garlic Powder,,Garlic Powder,Generic,3/22/2023,200,100,Kg,gm,26000.0
Splenda,,Splenda,Generic,3/22/2023,200,100,Kg,None,
Burger Bun,,Burger Bun,Generic,3/22/2023,200,100,Kg,gm,62000.0
Dry Fruits,,Dry Fruits,Generic,3/22/2023,200,100,Kg,gm,140000.0
Lemon Zest,,Lemon Zest,Generic,3/22/2023,200,100,Kg,gm,80000.0
Raw Pistachios Shelled,,Raw Pistachios Shelled,Generic,3/22/2023,200,100,Kg,gm,248000.0
Goat Rack,,Goat Rack,Generic,3/22/2023,200,100,Kg,ml,
Black Pepper,,Black Pepper,Generic,3/22/2023,200,100,Kg,gm,276000.0
Ground Black Pepper,,Ground Black Pepper,Generic,3/22/2023,200,100,Kg,gm,276000.0
Pistachio,,Pistachio,Generic,3/22/2023,200,100,Kg,gm,248000.0
Butter Clarified,,Butter Clarified,Generic,3/22/2023,200,100,Kg,gm,116000.0
Chili Powder,,Chili Powder,Generic,3/22/2023,200,100,Kg,gm,98000.0
Goat,,Goat,Generic,3/22/2023,200,100,Kg,ml,
Poppy Seeds,,Poppy Seeds,Generic,3/22/2023,200,100,Kg,gm,388000.0
Red Curry Paste,,Red Curry Paste,Generic,3/22/2023,200,100,Kg,gm,224000.0
Cumin,,Cumin,Generic,3/22/2023,200,100,Kg,gm,86000.0
Garlic Paste,,Garlic Paste,Generic,3/22/2023,200,100,Kg,gm,26000.0
Ginger Paste,,Ginger Paste,Generic,3/22/2023,200,100,Kg,gm,24000.0
Amaranth Leaves,,Amaranth Leaves,Generic,3/22/2023,200,100,Kg,gm,64000.0
Chives Leaves,,Chives Leaves,Generic,3/22/2023,200,100,Kg,gm,64000.0
Cilantro Leaves,,Cilantro Leaves,Generic,3/22/2023,200,100,Kg,gm,64000.0
Acacia Gum,,Acacia Gum,Generic,3/22/2023,200,100,Kg,gm,410000.0
Lady Finger,,Lady Finger,Generic,3/22/2023,200,100,Kg,gm,20000.0
Yeast,,Yeast,Generic,3/22/2023,200,100,Kg,gm,216000.0
Coconut Fresh,,Coconut Fresh,Generic,3/22/2023,200,100,Kg,gm,46000.0
Garam Masala,,Garam Masala,Generic,3/22/2023,200,100,Kg,gm,142000.0
Fennel Seed,,Fennel Seed,Generic,3/22/2023,200,100,Kg,gm,68000.0
Dry Fenugreek Leaves,,Dry Fenugreek Leaves,Generic,3/22/2023,200,100,Kg,gm,28000.0
Sesame Seed,,Sesame Seed,Generic,3/22/2023,200,100,Kg,gm,50000.0
Stevia,,Stevia,Generic,3/22/2023,200,100,Kg,gm,144000.0
Caraway Seeds,,Caraway Seeds,Generic,3/22/2023,200,100,Kg,gm,32000.0
Aspartame,,Aspartame,Generic,3/22/2023,200,100,Kg,None,
Turmeric,,Turmeric,Generic,3/22/2023,200,100,Kg,gm,30000.0
Coffee Powder,,Coffee Powder,Generic,3/22/2023,200,100,Kg,gm,454000.0
Instant Coffee Powder,,Instant Coffee Powder,Generic,3/22/2023,200,100,Kg,gm,454000.0
Gelatin,,Gelatin,Generic,3/22/2023,200,100,Kg,None,
Mint Leaf,,Mint Leaf,Generic,3/22/2023,200,100,Kg,gm,64000.0
Coriander,,Coriander,Generic,3/22/2023,200,100,Kg,gm,62000.0
Erythritol,,Erythritol,Generic,3/22/2023,200,100,Kg,None,
Basil,,Basil,Generic,3/22/2023,200,100,Kg,None,
Curry Powder,,Curry Powder,Generic,3/22/2023,200,100,Kg,gm,132000.0
Mustard Seed,,Mustard Seed,Generic,3/22/2023,200,100,Kg,gm,30000.0
Garlic,,Garlic,Generic,3/22/2023,200,100,Kg,gm,26000.0
Mango Green,,Mango Green,Generic,3/22/2023,200,100,Kg,kg,29000.0
Mango Powder,,Mango Powder,Generic,3/22/2023,200,100,Kg,gm,156000.0
White Pepper,,White Pepper,Generic,3/22/2023,200,100,Kg,gm,276000.0
Tea Green,,Tea Green,Generic,3/22/2023,200,100,Kg,gm,178000.0
Black Cumin Seed,,Black Cumin Seed,Generic,3/22/2023,200,100,Kg,gm,86000.0
Cumin Seed,,Cumin Seed,Generic,3/22/2023,200,100,Kg,gm,86000.0
Dried Oregano,,Dried Oregano,Generic,3/22/2023,200,100,Kg,gm,2114000.0
Dried Thyme,,Dried Thyme,Generic,3/22/2023,200,100,Kg,gm,398000.0
Orange Zest,,Orange Zest,Generic,3/22/2023,200,100,Kg,l,6844.0
Black Cardamom,,Black Cardamom,Generic,3/22/2023,200,100,Kg,gm,320000.0
Cardamom,,Cardamom,Generic,3/22/2023,200,100,Kg,gm,424000.0
Cardamom Brown,,Cardamom Brown,Generic,3/22/2023,200,100,Kg,gm,320000.0
Green cardamom,,Green cardamom,Generic,3/22/2023,200,100,Kg,gm,320000.0
Pepper,,Pepper,Generic,3/22/2023,200,100,Kg,gm,276000.0
Allspice,,Allspice,Generic,3/22/2023,200,100,Kg,None,
Chives,,Chives,Generic,3/22/2023,200,100,Kg,gm,76000.0
Dried Parsley,,Dried Parsley,Generic,3/22/2023,200,100,Kg,gm,398000.0
Pepper White,,Pepper White,Generic,3/22/2023,200,100,Kg,gm,276000.0
Chili Red,,Chili Red,Generic,3/22/2023,200,100,Kg,gm,176000.0
Red Pepper Flakes,,Red Pepper Flakes,Generic,3/22/2023,200,100,Kg,gm,276000.0
Rosemary Leaves,,Rosemary Leaves,Generic,3/22/2023,200,100,Kg,ml,
Herb,,Herb,Generic,3/22/2023,200,100,Kg,gm,2114000.0
Coriander Seed,,Coriander Seed,Generic,3/22/2023,200,100,Kg,gm,62000.0
Oregano,,Oregano,Generic,3/22/2023,200,100,Kg,gm,2114000.0
Thyme,,Thyme,Generic,3/22/2023,200,100,Kg,None,
Radish Pods,,Radish Pods,Generic,3/22/2023,200,100,Kg,ml,
Cilantro,,Cilantro,Generic,3/22/2023,200,100,Kg,None,
Dill,,Dill,Generic,3/22/2023,200,100,Kg,kg,15800.0
Parsley,,Parsley,Generic,3/22/2023,200,100,Kg,None,
Clove,,Clove,Generic,3/22/2023,200,100,Kg,gm,36000.0
Star Anise,,Star Anise,Generic,3/22/2023,200,100,Kg,gm,260000.0
Dried Marjoram,,Dried Marjoram,Generic,3/22/2023,200,100,Kg,gm,398000.0
Bay Leaf,,Bay Leaf,Generic,3/22/2023,200,100,Kg,gm,64000.0
Saffron,,Saffron,Generic,3/22/2023,200,100,Kg,ml,
Beef Short Plate,,Beef Short Plate,Generic,3/22/2023,200,100,Kg,u,
Corn Flour,,Corn Flour,Generic,3/22/2023,200,100,Kg,gm,52000.0
Flour Instant,,Flour Instant,Generic,3/22/2023,200,100,Kg,gm,454000.0
Salt Khosher,,Salt Khosher,Generic,3/22/2023,200,100,Kg,gm,36000.0
Chicken Mince,,Chicken Mince,Generic,3/22/2023,200,100,Kg,gm,112000.0
Soya Bean,,Soya Bean,Generic,3/22/2023,200,100,Kg,gm,28000.0
Ice Cream,,Ice Cream,Generic,3/22/2023,200,100,Kg,gm,116000.0
Vanilla Ice Cream,,Vanilla Ice Cream,Generic,3/22/2023,200,100,Kg,gm,116000.0
